ACXION 30MG C/30 TABS FENTERMINA (IFA),,
ACXION AP 30MG C/30 TABS FENTERMINA (IFA),,
ADIOLOL 100MG C/50 + 50 DUO CAPS TRAMADOL (SBL),56,"$19,50"
ADIOLOL 100MG C/60 + 60 DUO CAPS TRAMADOL (SBL),,
AGIN C/20 TABS (NORDIN),93,"$10,49"
ALBOZ OMEPRAZOL DUOS C/60 + 60 CAPS (COLLINS),48,"$14,99"
ALIVIAX 550MG C/10 TABS NAPROXENO SODICO (GENOMMA LAB),10,"$8,99"
AMOXICILINA EXHIBIDOR C/100 CAPS (SAIMED),50,"$23,99"
AMOXIL 250MG SUSP 75ML AMOXICILINA (GLAXO SMITH KLINE),520,"$12,99"
AMPICILINA EXHIBIDOR C/100 CAPS (SAIMED),50,"$23,99"
AMPIGRIN ADULTO C/3 INY (COLLINS),68,"$13,99"
"ARDOSONS C/20 CAPS INDOMETACINA, BETAMETASONA, METOCARBAMOL (SON'S)",100,"$8,99"
ARTRIBION C/80 CAPSULAS (BIOKEMICAL),75,"$23,99"
AVAPENA 25MG C/20 TABS CLOROPIRAMINA (SANDOZ),6,"$18,99"
"AZOGEN C/20 TABS ACIDO NALIDIXICO, FENAZOPIRIDINA (DEGORT'S CHEMICAL)",52,"$9,99"
"BARMICIL 30G CREMA Betametasona,Gentamicina,Clotrimazol (SON'S)",,
BEDOYECTA TRI C/5 AMP (GROSSMAN),156,"$20,99"
BISOLVON AD 120ML (BOEHRINGER INGELHEIM),89,"$14,99"
BISOLVON INF 120ML (BOEHRINGER INGELHEIM),99,"$14,99"
BROGAL ADULTO 120ML (RAYERE),10,"$8,99"
BROGAL INFANTIL 120ML (RAYERE),10,"$8,99"
CANESTEN V 20 MG C/3 OVULOS CLOTRIMAZOL (BAYER),,
CANESTEN V 20G CREMA CLOTRIMAZOL (BAYER),,
"CLAMOXIN 12 H PEDIATRICO 200MG AMOXICILINA, ACIDO CLAVULANICO (MAVER)",35,"$7,99"
"CLAMOXIN 12 HRS 875MG C/10 TABS AMOXICILINA, ACIDO CLAVULANICO (MAVER)",105,"$9,99"
DESENFRIOL-ITO PLUS C/24 TABS (SCHERING-PLOUGH),80,"$5,99"
DIPROSPAN HYPAK AMP 1ML (SCHERING-PLOUGH),36,"$31,99"
DOLO-NEORUBIÓN DC C/3 AMP (MERCK),266,"$33,99"
DOLO-NEORUBIÓN DC C/3 AMP (MERCK) (EMPAQUE),46,
DOLO-NEUROBION DC FORTE INY (MERCK),,
DOLO-NEUROBION FORTE C/30 TABS (MERCK),,
EDEGRA 100MG C/20 TABS SILDENAFIL (L.SERRAL),5,"$19,99"
ERISPAN C/1 AMP Y JERINGA BETAMETASONA (MAVER),,
EUCALIPTINE JARABE 140ML (PISA),50,"$13,99"
FARMAPRAM 2MG C/90 TABS ALPRAZOLAM (IFA CELTICS),,
"FAZOLIN F 15ML NAFAZOLINA, FENIRAMINA (COLLINS)",10,"$5,99"
FLANAX 550 C/12 NAPROXENO (BAYER),166,"$13,99"
FLUATRON 150MG C/10 CAPS FLUCONAZOL (VICTORY),50,"$10,99"
"GELMICIN 40G Betametasona,Gentamicina,Clotrimazol (COLLINS) (SIN EMPAQUE)",200,"$2,99"
GENTILAX C/50 TABS LAXANTE (DR. MONTFORT),109,"$8,99"
"MELOX PLUS CEREZA 360ML ALUMINIO, MAGNESIO, DIMETICONA (SANOFI)",6,
MICROGYNON C/21 TABLETAS (BAYER),,
NEO-MELUBRINA JBE INF 100ML (SANOFI AVENTIS),100,"$14,99"
NESAJAR C/16 CAPS PINAVERIO / DIMETICONA (GEL PHARMA),,
NIKSON C/90 TABS (GENOMMA LAB),4,"$34,99"
"PENIXILIN 500MG 800,000 UI C/100 CAPS PENICILINA (HEALTHTEC)",50,"$34,99"
PENTIBROXIL 250MG SUSP. AMOXICILINA / AMBROXOL (MAVER),60,"$7,99"
PENTIBROXIL 500MG C/16 CAPS AMOXICILINA / AMBROXOL (MAVER),,
PENTREXYL 500MG C/28 CAPS AMPICILINA (ASPEN),136,"$18,99"
PERLUDIL C/1 AMP ALGESTONA/ ESTRADIUOL (COLLINS),152,"$6,99"
PROXALIN-PLUS C/16 TABS NAPROXENO SODICO/PARACETAMOL (DEGORT'S/CHEMICAL),50,"$6,99"
QG5 C/30 TABLETAS (GENOMMA LAB),204,"$14,99"
SAL DE UVAS PICOT C/50 SOBRES (BRISTOL-MYERS SQUIBB),10,"$15,99"
SOLDRIN OTICO 10ML (PISA),50,"$9,99"
SOLUTINA F GOTAS 15ML (ALCON),830,"$7,99"
TEMPRA PEDIATRICO 100ML PARACETAMOL (BRISTOL-MYERS SQUIBB),91,"$13,99"
TERRAMICINA 10G OFTALMICA OXITETRACICLINA-POLIMIXINA B (PFIZER),160,"$11,99"
TERRAMICINA 125MG C/24 PAST OXITETRACICLINA (PFIZER),50,"$15,99"
TRAMED RV 100MG C/60 + 60 CAPS DUO TRAMADOL (BAJAMED),,
TRIBEDOCE COMPUESTO C/3 AMP (BRULUART),91,"$12,99"
TRIBEDOCE DX C/3 AMP (BRULUART),,
TRIBEDOCE F COMPUESTO C/30 GRAGEAS (BRULUART),300,"$6,49"
TUKOL-D ADULTO 125ML DEXTROMETORFANO/GUAIFENESINA (GENOMALAB),147,"$12,99"
"UROVEC C/24 TABS TETRACICLINA,FENAZOPIRIDINA,SULFAMETOXAZOL (COLLINS)",61,"$10,99"
VERMOX 100MG C/6 TABS MEBENDAZOL (JANSSEN-CILAG),,
VERMOX 10ML 1 DIA CEREZA MEBENDAZOL (JANSSEN),100,"$8,99"
VOLFENAC RETARD 100MG C/20 TABS DICLOFENACO (COLLINS),,
ZERTALIN 500MG C/6 TABS AZITROMICINA (COLLINS),25,"$12,99"